學校類型,學校代碼,學校名稱,縣市別,學生宿舍床位數_床,自有宿舍床位數_床,教職員宿舍單身床位_床,教職員宿舍有眷戶數_戶,可使用校地-校舍基地_平方公尺,可使用校地-露天運動場地_平方公尺,可使用校地-其他校地_平方公尺,無法使用校地_平方公尺
國立大學,0001,國立政治大學,臺北市,5487,5407,63,102,89646,70032,914414,19192
國立大學,0002,國立清華大學,臺北市,0,0,0,0,1176,0,807,0
國立大學,0002,國立清華大學,新竹縣,0,0,0,0,0,0,0,101134
國立大學,0002,國立清華大學,新竹市,8439,8439,208,301,139494,48113,910900,0
國立大學,0003,國立臺灣大學,臺北市,8640,8640,72,666,471318,33529,855765,0
國立大學,0004,國立臺灣師範大學,新北市,0,0,1,13,25578,38552,264643,0
國立大學,0004,國立臺灣師範大學,臺北市,4166,4166,12,19,112097,55314,56271,0
國立大學,0005,國立成功大學,臺南市,6410,6410,110,128,238668,45345,1571735,0
國立大學,0006,國立中興大學,臺中市,5501,5501,106,131,100470,30909,400146,0
國立大學,0007,國立陽明交通大學,臺北市,2377,2377,29,122,43090,28740,167435,262193
國立大學,0007,國立陽明交通大學,桃園市,0,0,0,0,0,0,26824,0
國立大學,0007,國立陽明交通大學,臺南市,300,300,0,0,13221,550,163252,0
國立大學,0007,國立陽明交通大學,新竹縣,0,0,0,0,3504,0,21497,0
國立大學,0007,國立陽明交通大學,新竹市,8706,8706,161,125,108772,97928,563403,0
國立大學,0008,國立中央大學,臺北市,0,0,0,0,0,0,30,0
國立大學,0008,國立中央大學,桃園市,6239,6239,107,234,108773,22143,530952,0
國立大學,0008,國立中央大學,臺中市,0,0,0,0,0,0,791,0
國立大學,0008,國立中央大學,宜蘭縣,0,0,0,0,0,0,15,0
國立大學,0008,國立中央大學,南投縣,0,0,0,0,195,0,735,0
國立大學,0008,國立中央大學,嘉義縣,0,0,0,0,134,0,868,0
國立大學,0008,國立中央大學,屏東縣,0,0,0,0,0,0,15,0
國立大學,0008,國立中央大學,臺東縣,0,0,0,0,0,0,15,0
